,logFC,logCPM,LR,PValue,FDR,gene
10168,0.677483332390887,3.92176888251453,7.64434651889708,0.00569505236225525,0.0219969550193926,KRTCAP3
6195,-1.17238776377486,0.304812156418195,7.6406529503287,0.0057067255874855,0.0220368438782783,LBP
17647,0.263693228472488,4.70852741574633,7.63756165230146,0.0057165141432739,0.0220694378844196,NOL8
3765,-0.381707745634963,5.62176533775178,7.63593646688886,0.00572166713860357,0.0220841244838181,RNF141
6832,0.457267491836072,5.81064879437473,7.63388853918994,0.00572816727535669,0.0220988844787641,CCNB1
54213,0.516250242748186,0.930310761163469,7.63388117492924,0.00572819066315733,0.0220988844787641,POLR2J4
11494,-0.856707080368863,0.279479465917111,7.63306174129687,0.00573079367141395,0.0221037184410037,FREM1
17892,-0.453746570435053,6.52806521361688,7.62825826265995,0.00574607665859446,0.0221574453912311,CDC42BPB
17793,-0.826937248253483,3.45033711902236,7.62767282361773,0.00574794216058353,0.0221594200600975,ANKRD35
10222,0.535187201262422,3.66761573280327,7.62313480992051,0.00576242351447816,0.0222100188800732,TSPAN33
8791,1.22364001829633,0.672887852046243,7.62073784534012,0.00577008753420772,0.0222343241227543,GFRA3
11998,-2.12476425898944,-0.468704106444573,7.61992065107647,0.00577270279522159,0.0222391677332149,MS4A8
6885,-0.626709860665839,5.60516984962915,7.61694003993496,0.00578225187581237,0.0222707151170727,GRHL1
11888,0.304904104492148,4.03420508232604,7.61650742170796,0.00578363920727356,0.0222708195533137,ZNF3
5940,0.280460932767134,3.33577103912141,7.61448814723533,0.00579011916189662,0.0222905292823262,WDR24
22311,0.401866877072495,3.22330596101644,7.61284534073008,0.00579539647470106,0.0223056009591633,ZNF580
54208,0.608556306320619,0.792443711449372,7.61003247783147,0.00580444384437418,0.0223351725179644,GTF2IP20
4141,0.44589217068773,2.68385801940797,7.605955577164,0.00581758248098476,0.0223804694457621,APBB3
637,0.374336882957926,5.51587345534648,7.60422136578447,0.00582318052103536,0.0223933522475994,TSPAN17
1596,0.481299762181862,4.04567259932648,7.60407085222398,0.00582366663838503,0.0223933522475994,ITGAE
7671,-0.52800920748115,6.89083820199433,7.6029308947151,0.00582734973151804,0.0224022533820486,ITPRID2
17927,0.653056167684572,2.99508720308971,7.59995826671633,0.00583696518780139,0.022433950943632,CD247
5141,0.489190903166427,3.49920120905626,7.59921449358579,0.00583937357528467,0.0224361187557786,FAM117A
8891,0.304802145341992,5.32289901595914,7.59893778257974,0.00584026984285889,0.0224361187557786,GIGYF1
22675,0.294560581340994,3.6828834823082,7.59716711185688,0.00584600837240367,0.0224528958670808,NCKIPSD
7772,-0.444078184711121,3.52667972417504,7.59593755522565,0.00584999660027488,0.0224629442627347,FGD4
8150,-0.648936994073346,5.97281317978332,7.59534511902025,0.0058519192354129,0.0224650582981044,ZNF750
2926,-0.518918500263328,4.68160875235299,7.59485647499231,0.00585350551855468,0.02246588041615,TRPS1
10149,0.545170154963419,2.37190467124674,7.58852323138002,0.00587410483284561,0.0225396574708651,GAREM2
31674,0.550068227765731,0.659375736877344,7.58692440356322,0.00587931681268563,0.0225543707062094,MHENCR
9055,-0.375224478179723,5.89508779804816,7.58329740263756,0.00589115788240176,0.0225945017588578,UGCG
12536,-0.314695127125161,4.18666628474989,7.58216647253809,0.00589485500341125,0.0226028796581227,ZBTB43
2792,0.569390251983114,3.31603765878419,7.58178479430836,0.00589610328100177,0.0226028796581227,METRN
